1	15306
2	573
3	160
4	264
5	1836
6	277
7	699
8	0
9	6037
10	1534
11	3586
12	787
13	2208
14	2152
15	0
16	2344
17	258
18	2192
19	1217
20	0
21	12229
22	13833
23	1954
24	5307
25	795
26	1384
27	1634
28	9056
29	7971
30	1590
31	2131
32	0
33	1131
34	113
35	1626
36	1116
37	103
38	0
39	104
40	0
41	1632
42	1502
43	2073
44	0
45	728
46	260
47	0
48	4453
49	311
50	26419
51	0
52	5122
53	559
54	7505
55	2396
56	1384
57	6452
58	1182
59	26516
60	1820
61	7043
62	467
63	13506
64	1583
65	0
66	4393
67	4784
68	1350
69	408
70	354
71	0
72	11177
73	6739
74	12432
75	5849
76	3012
77	12922
78	733
79	9999
80	140
81	0
82	0
83	140
84	847
85	0
86	0
87	0
88	4350
89	1230
90	301
91	0
92	3642
93	4314
94	5569
95	8455
96	3740
97	5887
98	3855
99	6547
100	967
101	3639
102	11015
103	15110
104	5593
105	10928
106	2572
107	0
108	8618
109	5735
110	18339
111	8092
112	895
113	20451
114	30006
115	1169
116	0
117	975
118	1503
119	2986
120	8911
121	758
122	0
123	3767
124	15864
125	95001
126	97237
127	644
128	832
129	18843
130	22882
131	709
132	385
133	39257
134	1445830
135	47652
136	10163
137	12124
138	1432
139	18256
140	11669
141	768
142	11340
143	29290
144	15034
145	89115
146	3176
147	2118
148	1946
149	8189
150	1949
151	637
152	20092
153	3079
154	10544
155	1435
156	4618
157	4048
158	8551
159	33197
160	1914
161	4283
162	80453
163	1178
164	7651
165	1896
166	143
167	3070
168	48817
169	7598
170	1578
171	7004
172	10632
173	7395
174	677
175	6103
176	10381
177	3093
178	3523
179	618
180	2649
181	4381
182	1340
183	80150
184	1679
185	1218
186	10976
187	4538
188	735
189	1103
190	2739
191	5181
192	0
193	6207
194	657
195	3223
196	4373
197	2787
198	2150
199	1943
200	110
201	5686
202	1947
203	728
204	0
205	364
206	11831
207	1102
208	679
209	4418
210	494
211	0
212	4181
213	15642
214	14926
215	60592
216	30286
217	25132
218	81913
219	117958
220	39871
221	22797
222	3016
223	7014
224	329
225	136
226	3583
227	567
228	42787
229	1881
230	39029
231	87659
232	7206
233	8700
234	8337
235	3042
236	5335
237	21789
238	99805
239	18310
240	63414
241	10577
242	3637
243	2207
244	21051
245	21416
246	3533
247	1784
248	3940
249	38993
250	145125
251	4661
252	1017
253	178780
254	34670
255	6000
256	3510
257	7623
258	18071
259	3224
260	50204
261	16558
262	5921
263	714
264	855
265	1317
266	910
267	6201
268	574
269	2250
270	1221
271	6699
272	834
273	3092
274	12833
275	6154
276	962
277	467
278	8870
279	1076
280	5356
281	2583
282	4591
283	1381
284	633
285	8137
286	105
287	54744
288	3408
289	893
290	803
291	0
292	897
293	169
294	4166
295	885
296	392
297	0
298	0
299	7565
300	48142
301	4828
302	4525
303	2181
304	11740
305	3465
306	1611
307	3986
308	1720
309	4266
310	14651
311	10932
312	14160
313	11910
314	13042
315	11449
316	14002
317	25120
318	3788
319	2388
320	1070
321	14114
322	1556
323	1518
324	37372
325	1587
326	3207
327	2155
328	54997
329	267604
330	17528
331	27554
332	15008
333	2002
334	1064
335	3385
336	5065
337	21513
338	25842
339	1281
340	1076
341	1834
342	5331
343	37344
344	74248
345	51934
346	796
347	1882
348	29592
349	26124
350	6284
351	20488
352	10348
353	51308
354	11749
355	5941
356	12560
357	198160
358	323285
359	23322
360	16690
361	4215
362	1156
363	913
364	2773
365	1458
366	3058
367	19291
368	5144
369	4447
370	6737
371	1472
372	108
373	0
374	7124
375	2109
376	24472
377	33016
378	4507
379	3877
380	1974
381	0
382	413
383	871
384	7954
385	26048
386	9745
387	2379
388	12209
389	1159
390	636
391	2691
392	3662
393	11069
394	6505
395	6318
396	3201
397	8135
398	33604
399	4979
400	8476
401	426
402	1424
403	4122
404	64199
405	0
406	694
407	878
408	55416
409	5367
410	817
411	18542
412	4927
413	1265
414	1244
415	824
416	7098
417	36151
418	180755
419	19908
420	19531
421	6224
422	5651
423	2919
424	7827
425	162285
426	808
427	546
428	4921
429	10542
430	7098
431	23928
432	11187
433	1779
434	1732
435	680
436	1043
437	9319
438	0
439	17993
440	40856
441	20348
442	1027
443	2565
444	2781
445	7229
446	825
447	577
448	6261
449	761
450	899
451	25440
452	2274
453	2364
454	20414
455	1599
456	26160
457	28742
458	1336
459	21031
460	13037
461	14726
462	4373
463	3944
464	1457
465	1608
466	4280
467	893
468	1206
469	1599
470	14054
471	873
472	2813
473	1991
474	54760
475	21964
476	29172
477	4138
478	936
479	12743
480	5049
481	810
482	572
483	13079
484	4111
485	1795
486	898
487	801
488	0
489	25527
490	69822
491	8997
492	31990
493	0
494	2855
495	5754
496	3181
497	13264
498	1015
499	1916
500	6377
501	5070
502	2368
503	992
504	8382
505	11323
506	1225
507	24157
508	1295
509	1856
510	14277
